Fund,Service,Department,Program,Account Description,Fiscal Year Range,Division,Service Area,Org Code,Fund Code,Project Code,Project Description,Program Code,Program Description,Account Type,Account Code,Amount,Budget Type,Budget Name,Amount as number,,,
Central Stores,Finance,Stores Operations,Interest Income,Interest: Investments,2019,Controller's Office,Controller,8242,4500,1000007,DP080 Administrative Project,IP59,FINANCIAL MANAGEMENT,Expense,44112,0,3,Proposed,0,,,
test fund description,test department,test org description,test account category,test account description,2019,Test division,test service area,test org code,6969,1006969,test project description,IP69,test program description,Revenue,69690,15000,3,Proposed,15000,,,
2-test fund description,2-test department,2-test org description,2-test account category,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,15000,3,Proposed,15000,,,
General Fund,Utilities & Transportation,City Light,Long-Term Purchased Power,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,298051673,3,Proposed,298051673,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Parks and Open Space,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,1910095,3,Proposed,1910095,,,
General Fund,Administration,Finance and Administrative Services,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5433491,3,Proposed,5433491,,,
General Fund,Administration,Finance General,Reserves,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Administration,Information Technology,Engineering and Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,22437775,3,Proposed,22437775,,,
General Fund,Utilities & Transportation,Public Utilities,General Expense,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,137269086,3,Proposed,137269086,,,
General Fund,Neighborhoods & Development,Construction and Inspections,Compliance,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6101194,3,Proposed,6101194,,,
General Fund,Administration,Finance and Administrative Services,Judgment & Claims Litigation,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,8489019,3,Proposed,8489019,,,
General Fund,Education & Human Services,Human Services,Preparing Youth for Success,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6711832,3,Proposed,6711832,,,
General Fund,Administration,Finance and Administrative Services,Seattle Animal Shelter,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,5910611,3,Proposed,5910611,,,
General Fund,Utilities & Transportation,Public Utilities,Shared Cost Projects,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,129345465,3,Proposed,129345465,,,
General Fund,Utilities & Transportation,City Light,"Customer Service, Communications and Regulatory Affairs",2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,83431727,3,Proposed,83431727,,,
General Fund,Public Safety,Fire,Operations,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,24159794,3,Proposed,24159794,,,
General Fund,Utilities & Transportation,Public Utilities,Combined Sewer Overflows,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,71316167,3,Proposed,71316167,,,
General Fund,Administration,Finance and Administrative Services,FAS Oversight-External Projects,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,2500000,3,Proposed,2500000,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,"Arts, Culture & Recreation",Seattle Center,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,0,3,Proposed,0,,,
General Fund,Utilities & Transportation,City Light,Leadership and Administration - General Expense,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,60802457,3,Proposed,60802457,,,
General Fund,"Arts, Culture & Recreation",Parks and Recreation,Debt and Special Funding,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6039000,3,Proposed,6039000,,,
General Fund,Neighborhoods & Development,Housing,Leadership and Administration,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,3629311,3,Proposed,3629311,,,
General Fund,Utilities & Transportation,City Light,Transmission and Distribution - CIP,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,60718640,3,Proposed,60718640,,,
General Fund,Utilities & Transportation,Transportation,Major Projects,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,57469718,3,Proposed,57469718,,,
General Fund,Administration,Finance and Administrative Services,Office of Constituent Services,2-test account description,2019,2-Test division,2-test service area,2-test org code,26969,2006969,2-test project description,IP69,2-test program description,Revenue,269690,6728148,3,Proposed,6728148,,,
