Fiscal Year,Fund,Service,Department,Program,Expense Category,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2019,General Fund,Administration,Immigrant and Refugee Affairs,Office of Immigrant and Refugee Affairs,Office of Immigrant and Refuge,Tax-Supported Fund,Operating Expense,Office of Immigrant and Refuge,,5056318
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Public Gathering Space Improve,Tax-Supported Fund,Operating Expense,Public Gathering Space Improve,,400000.0001
2019,General Fund,Utilities & Transportation,City Light,Power Supply & Environ Affairs - CIP,CEDAR FALLS - TOLT,Tax-Supported Fund,Operating Expense,CEDAR FALLS - TOLT,,4856152
2019,General Fund,"Arts, Culture & Recreation",Library,Institutional & Strategic Adva,Institutional & Strategic Adva,Tax-Supported Fund,Operating Expense,Institutional & Strategic Adva,,1532340
2019,General Fund,Administration,Cable Television Franchise Subfund,Cable Television Franchise Fund,Cable Franchise for Information Technology,Tax-Supported Fund,Operating Expense,Cable Franchise for Information Technology,,9517379
2019,General Fund,Administration,Information Technology,Digital Engagement,Open Data,Tax-Supported Fund,Operating Expense,Open Data,,1155765
2019,General Fund,Public Safety,Inspector General for Public Safety,Office of Inspector General for Public Safety,Inspctr Gen for Public Safety,Tax-Supported Fund,Operating Expense,Inspctr Gen for Public Safety,,1814087
2019,General Fund,Neighborhoods & Development,Neighborhoods,Community Building,Major Institutions and Schools,Tax-Supported Fund,Operating Expense,Major Institutions and Schools,,224453
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,9771123
2019,General Fund,Administration,Information Technology,Client Services Management,Client Services Management,Tax-Supported Fund,Operating Expense,Client Services Management,,3899388
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration - Financial Services O&M,FINANCIAL SERVICES O&M,Tax-Supported Fund,Operating Expense,FINANCIAL SERVICES O&M,,18567907.2
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,2947074
2019,General Fund,Administration,Human Resources,HR Services,HR Service Delivery,Tax-Supported Fund,Operating Expense,HR Service Delivery,,1634106
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Signs & Markings,Tax-Supported Fund,Operating Expense,Signs & Markings,,3990598
2019,General Fund,Administration,Information Technology,Capital Improvement Projects,Enterprise Computing Services CIP,Tax-Supported Fund,Operating Expense,Enterprise Computing Services CIP,,2832011
2019,General Fund,Administration,Finance General,Reserves,Recurring Reserve-Election Expense,Tax-Supported Fund,Operating Expense,Recurring Reserve-Election Expense,,850000
2019,General Fund,Public Safety,Police Relief and Pension,Police Relief and Pension,Medical Benefits,Tax-Supported Fund,Operating Expense,Medical Benefits,,15380000
2019,General Fund,Administration,Finance General,Appropriation to Special Funds,Emergency Subfund,Tax-Supported Fund,Operating Expense,Emergency Subfund,,1706916
2019,General Fund,Public Safety,Police,Criminal Investigations,Criminal Investigations,Tax-Supported Fund,Operating Expense,Criminal Investigations,,12397184
2019,General Fund,Neighborhoods & Development,Economic Development,Leadership and Administration,Pooled Benefits,Tax-Supported Fund,Operating Expense,Pooled Benefits,,480066
2019,General Fund,Utilities & Transportation,Public Utilities,Utility Service and Operations,Water Distribution System,Tax-Supported Fund,Operating Expense,Water Distribution System,,15908404.53
2019,General Fund,Utilities & Transportation,City Light,Leadership and Administration,Indirect Cost Recovery Offset,Tax-Supported Fund,Operating Expense,Indirect Cost Recovery Offset,,-6349904.526
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Building For The Future,Building For The Future - CIP,Tax-Supported Fund,Operating Expense,Building For The Future - CIP,,25388999.62
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Campuswide Improvements and Re,Tax-Supported Fund,Operating Expense,Campuswide Improvements and Re,,2888000
2019,General Fund,Administration,Finance and Administrative Services,Information Technology,Information Technology,Tax-Supported Fund,Operating Expense,Information Technology,,1333000
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Building and Campus Improvements,Parking Repairs & Improvements,Tax-Supported Fund,Operating Expense,Parking Repairs & Improvements,,6500000
2019,General Fund,"Arts, Culture & Recreation",Seattle Center,Campus,Cultural Facilities,Tax-Supported Fund,Operating Expense,Cultural Facilities,,276071.1143
2019,General Fund,Utilities & Transportation,City Light,Customer Focused - CIP,CUSTOMER AND BILLING,Tax-Supported Fund,Operating Expense,CUSTOMER AND BILLING,,64153
2019,General Fund,Administration,Finance and Administrative Services,City Finance,City Financial Management,Tax-Supported Fund,Operating Expense,City Financial Management,,2270205
2019,General Fund,Utilities & Transportation,City Light,Engineering and Technology Innovation O&M,ENG & TECH INNOVTN ADMIN O&M,Tax-Supported Fund,Operating Expense,ENG & TECH INNOVTN ADMIN O&M,,17521733.08
2019,General Fund,Administration,Information Technology,Leadership and Administration,Strategy & Planning,Tax-Supported Fund,Operating Expense,Strategy & Planning,,2126097
2019,General Fund,Utilities & Transportation,Transportation,General Expense,Judgment & Claims,Tax-Supported Fund,Operating Expense,Judgment & Claims,,2590087
2019,General Fund,Utilities & Transportation,City Light,Debt Services,DEBT SVS OPS,Tax-Supported Fund,Operating Expense,DEBT SVS OPS,,230449285.6
2019,General Fund,Utilities & Transportation,Public Utilities,Leadership and Administration,Citywide Indirect Costs,Tax-Supported Fund,Operating Expense,Citywide Indirect Costs,,60458561.37
2019,General Fund,Utilities & Transportation,City Light,Transmission and Distribution O&M,TRANSMISSION & DIST ADMIN O&M,Tax-Supported Fund,Operating Expense,TRANSMISSION & DIST ADMIN O&M,,5949982.161
2019,General Fund,"Arts, Culture & Recreation",Parks and Recreation,Parks and Open Space,Citywide Programs,Tax-Supported Fund,Operating Expense,Citywide Programs,,1910094.85
2019,General Fund,Administration,Finance and Administrative Services,Leadership and Administration,Departmental Indirect Costs,Tax-Supported Fund,Operating Expense,Departmental Indirect Costs,,5433491
2019,General Fund,Administration,Finance General,Reserves,Community Health Engagement Location,Tax-Supported Fund,Operating Expense,Community Health Engagement Location,,0
2019,General Fund,Administration,Information Technology,Engineering and Operations,Customer Support Services,Tax-Supported Fund,Operating Expense,Customer Support Services,,22437775
2019,General Fund,Utilities & Transportation,Transportation,Mobility Operations,Parking & Curbspace,Tax-Supported Fund,Operating Expense,Parking & Curbspace,,13670815
2019,General Fund,Neighborhoods & Development,Construction and Inspections,Compliance,Compliance,Tax-Supported Fund,Operating Expense,Compliance,,6101194.325
